LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,LaborForce,Employed,Unemployed,Unemployment rate (%)
CN4800100000000,48,1,"Anderson County, TX",2000,"19,623","18,442","1,181",6
CN4800300000000,48,3,"Andrews County, TX",2000,"5,628","5,354",274,4.9
CN4800500000000,48,5,"Angelina County, TX",2000,"37,984","36,179","1,805",4.8
CN4800700000000,48,7,"Aransas County, TX",2000,"9,737","9,166",571,5.9
CN4800900000000,48,9,"Archer County, TX",2000,"4,871","4,717",154,3.2
CN4801100000000,48,11,"Armstrong County, TX",2000,"1,090","1,056",34,3.1
CN4801300000000,48,13,"Atascosa County, TX",2000,"17,239","16,536",703,4.1
CN4801500000000,48,15,"Austin County, TX",2000,"12,019","11,551",468,3.9
CN4801700000000,48,17,"Bailey County, TX",2000,"3,194","3,049",145,4.5
CN4801900000000,48,19,"Bandera County, TX",2000,"8,711","8,396",315,3.6
CN4802100000000,48,21,"Bastrop County, TX",2000,"29,727","28,723","1,004",3.4
CN4802300000000,48,23,"Baylor County, TX",2000,"1,849","1,764",85,4.6
CN4802500000000,48,25,"Bee County, TX",2000,"11,323","10,663",660,5.8
CN4802700000000,48,27,"Bell County, TX",2000,"101,432","97,227","4,205",4.1
CN4802900000000,48,29,"Bexar County, TX",2000,"662,639","636,095","26,544",4
CN4803100000000,48,31,"Blanco County, TX",2000,"4,476","4,336",140,3.1
CN4803300000000,48,33,"Borden County, TX",2000,422,395,27,6.4
CN4803500000000,48,35,"Bosque County, TX",2000,"8,067","7,734",333,4.1
CN4803700000000,48,37,"Bowie County, TX",2000,"40,492","38,519","1,973",4.9
CN4803900000000,48,39,"Brazoria County, TX",2000,"120,108","114,243","5,865",4.9
CN4804100000000,48,41,"Brazos County, TX",2000,"78,711","75,832","2,879",3.7
CN4804300000000,48,43,"Brewster County, TX",2000,"4,561","4,385",176,3.9
CN4804500000000,48,45,"Briscoe County, TX",2000,911,878,33,3.6
CN4804700000000,48,47,"Brooks County, TX",2000,"2,889","2,695",194,6.7
CN4804900000000,48,49,"Brown County, TX",2000,"17,680","16,897",783,4.4
CN4805100000000,48,51,"Burleson County, TX",2000,"7,725","7,419",306,4
CN4805300000000,48,53,"Burnet County, TX",2000,"17,197","16,595",602,3.5
CN4805500000000,48,55,"Caldwell County, TX",2000,"15,106","14,495",611,4
CN4805700000000,48,57,"Calhoun County, TX",2000,"9,353","8,920",433,4.6
CN4805900000000,48,59,"Callahan County, TX",2000,"6,214","5,977",237,3.8
CN4806100000000,48,61,"Cameron County, TX",2000,"127,268","118,477","8,791",6.9
CN4806300000000,48,63,"Camp County, TX",2000,"5,220","4,952",268,5.1
CN4806500000000,48,65,"Carson County, TX",2000,"3,356","3,248",108,3.2
CN4806700000000,48,67,"Cass County, TX",2000,"13,542","12,754",788,5.8
CN4806900000000,48,69,"Castro County, TX",2000,"3,992","3,848",144,3.6
CN4807100000000,48,71,"Chambers County, TX",2000,"13,112","12,561",551,4.2
CN4807300000000,48,73,"Cherokee County, TX",2000,"20,935","19,976",959,4.6
CN4807500000000,48,75,"Childress County, TX",2000,"2,984","2,845",139,4.7
CN4807700000000,48,77,"Clay County, TX",2000,"5,959","5,748",211,3.5
CN4807900000000,48,79,"Cochran County, TX",2000,"1,591","1,498",93,5.8
CN4808100000000,48,81,"Coke County, TX",2000,"1,663","1,593",70,4.2
CN4808300000000,48,83,"Coleman County, TX",2000,"4,220","4,020",200,4.7
CN4808500000000,48,85,"Collin County, TX",2000,"300,048","291,653","8,395",2.8
CN4808700000000,48,87,"Collingsworth County, TX",2000,"1,534","1,477",57,3.7
CN4808900000000,48,89,"Colorado County, TX",2000,"9,930","9,559",371,3.7
CN4809100000000,48,91,"Comal County, TX",2000,"40,428","39,018","1,410",3.5
CN4809300000000,48,93,"Comanche County, TX",2000,"6,687","6,427",260,3.9
CN4809500000000,48,95,"Concho County, TX",2000,"1,437","1,357",80,5.6
CN4809700000000,48,97,"Cooke County, TX",2000,"18,675","17,999",676,3.6
CN4809900000000,48,99,"Coryell County, TX",2000,"23,964","22,699","1,265",5.3
CN4810100000000,48,101,"Cottle County, TX",2000,951,910,41,4.3
CN4810300000000,48,103,"Crane County, TX",2000,"1,613","1,527",86,5.3
CN4810500000000,48,105,"Crockett County, TX",2000,"2,045","1,969",76,3.7
CN4810700000000,48,107,"Crosby County, TX",2000,"2,982","2,847",135,4.5
CN4810900000000,48,109,"Culberson County, TX",2000,"1,493","1,409",84,5.6
CN4811100000000,48,111,"Dallam County, TX",2000,"3,286","3,177",109,3.3
CN4811300000000,48,113,"Dallas County, TX",2000,"1,187,494","1,142,138","45,356",3.8
CN4811500000000,48,115,"Dawson County, TX",2000,"5,850","5,544",306,5.2
CN4811700000000,48,117,"Deaf Smith County, TX",2000,"8,248","7,854",394,4.8
CN4811900000000,48,119,"Delta County, TX",2000,"2,569","2,440",129,5
CN4812100000000,48,121,"Denton County, TX",2000,"267,721","260,275","7,446",2.8
CN4812300000000,48,123,"DeWitt County, TX",2000,"8,989","8,606",383,4.3
CN4812500000000,48,125,"Dickens County, TX",2000,"1,136","1,078",58,5.1
CN4812700000000,48,127,"Dimmit County, TX",2000,"3,862","3,530",332,8.6
CN4812900000000,48,129,"Donley County, TX",2000,"1,869","1,793",76,4.1
CN4813100000000,48,131,"Duval County, TX",2000,"5,014","4,665",349,7
CN4813300000000,48,133,"Eastland County, TX",2000,"8,594","8,187",407,4.7
CN4813500000000,48,135,"Ector County, TX",2000,"56,621","53,610","3,011",5.3
CN4813700000000,48,137,"Edwards County, TX",2000,954,913,41,4.3
CN4813900000000,48,139,"Ellis County, TX",2000,"60,192","58,069","2,123",3.5
CN4814100000000,48,141,"El Paso County, TX",2000,"275,363","256,975","18,388",6.7
CN4814300000000,48,143,"Erath County, TX",2000,"16,598","16,001",597,3.6
CN4814500000000,48,145,"Falls County, TX",2000,"7,201","6,815",386,5.4
CN4814700000000,48,147,"Fannin County, TX",2000,"13,949","13,282",667,4.8
CN4814900000000,48,149,"Fayette County, TX",2000,"11,442","11,054",388,3.4
CN4815100000000,48,151,"Fisher County, TX",2000,"2,158","2,076",82,3.8
CN4815300000000,48,153,"Floyd County, TX",2000,"3,479","3,313",166,4.8
CN4815500000000,48,155,"Foard County, TX",2000,795,765,30,3.8
CN4815700000000,48,157,"Fort Bend County, TX",2000,"185,694","179,151","6,543",3.5
CN4815900000000,48,159,"Franklin County, TX",2000,"4,435","4,249",186,4.2
CN4816100000000,48,161,"Freestone County, TX",2000,"7,902","7,504",398,5
CN4816300000000,48,163,"Frio County, TX",2000,"6,168","5,796",372,6
CN4816500000000,48,165,"Gaines County, TX",2000,"6,248","5,981",267,4.3
CN4816700000000,48,167,"Galveston County, TX",2000,"128,041","121,875","6,166",4.8
CN4816900000000,48,169,"Garza County, TX",2000,"2,123","2,031",92,4.3
CN4817100000000,48,171,"Gillespie County, TX",2000,"10,537","10,133",404,3.8
CN4817300000000,48,173,"Glasscock County, TX",2000,728,706,22,3
CN4817500000000,48,175,"Goliad County, TX",2000,"3,337","3,211",126,3.8
CN4817700000000,48,177,"Gonzales County, TX",2000,"9,117","8,803",314,3.4
CN4817900000000,48,179,"Gray County, TX",2000,"9,991","9,495",496,5
CN4818100000000,48,181,"Grayson County, TX",2000,"56,405","54,152","2,253",4
CN4818300000000,48,183,"Gregg County, TX",2000,"55,252","52,286","2,966",5.4
CN4818500000000,48,185,"Grimes County, TX",2000,"9,970","9,440",530,5.3
CN4818700000000,48,187,"Guadalupe County, TX",2000,"45,406","43,873","1,533",3.4
CN4818900000000,48,189,"Hale County, TX",2000,"16,959","16,204",755,4.5
CN4819100000000,48,191,"Hall County, TX",2000,"1,720","1,630",90,5.2
CN4819300000000,48,193,"Hamilton County, TX",2000,"4,052","3,901",151,3.7
CN4819500000000,48,195,"Hansford County, TX",2000,"2,828","2,745",83,2.9
CN4819700000000,48,197,"Hardeman County, TX",2000,"2,455","2,366",89,3.6
CN4819900000000,48,199,"Hardin County, TX",2000,"23,214","21,933","1,281",5.5
CN4820100000000,48,201,"Harris County, TX",2000,"1,725,910","1,652,532","73,378",4.3
CN4820300000000,48,203,"Harrison County, TX",2000,"29,417","27,973","1,444",4.9
CN4820500000000,48,205,"Hartley County, TX",2000,"2,431","2,355",76,3.1
CN4820700000000,48,207,"Haskell County, TX",2000,"2,903","2,781",122,4.2
CN4820900000000,48,209,"Hays County, TX",2000,"56,709","54,900","1,809",3.2
CN4821100000000,48,211,"Hemphill County, TX",2000,"1,844","1,791",53,2.9
CN4821300000000,48,213,"Henderson County, TX",2000,"32,897","31,530","1,367",4.2
CN4821500000000,48,215,"Hidalgo County, TX",2000,"211,320","192,190","19,130",9.1
CN4821700000000,48,217,"Hill County, TX",2000,"15,243","14,555",688,4.5
CN4821900000000,48,219,"Hockley County, TX",2000,"10,919","10,480",439,4
CN4822100000000,48,221,"Hood County, TX",2000,"20,324","19,527",797,3.9
CN4822300000000,48,223,"Hopkins County, TX",2000,"16,398","15,745",653,4
CN4822500000000,48,225,"Houston County, TX",2000,"9,081","8,618",463,5.1
CN4822700000000,48,227,"Howard County, TX",2000,"13,606","12,920",686,5
CN4822900000000,48,229,"Hudspeth County, TX",2000,"1,318","1,259",59,4.5
CN4823100000000,48,231,"Hunt County, TX",2000,"38,897","37,275","1,622",4.2
CN4823300000000,48,233,"Hutchinson County, TX",2000,"11,023","10,500",523,4.7
CN4823500000000,48,235,"Irion County, TX",2000,944,914,30,3.2
CN4823700000000,48,237,"Jack County, TX",2000,"3,795","3,636",159,4.2
CN4823900000000,48,239,"Jackson County, TX",2000,"6,813","6,563",250,3.7
CN4824100000000,48,241,"Jasper County, TX",2000,"15,360","14,267","1,093",7.1
CN4824300000000,48,243,"Jeff Davis County, TX",2000,"1,165","1,121",44,3.8
CN4824500000000,48,245,"Jefferson County, TX",2000,"112,867","105,605","7,262",6.4
CN4824700000000,48,247,"Jim Hogg County, TX",2000,"2,183","2,054",129,5.9
CN4824900000000,48,249,"Jim Wells County, TX",2000,"16,688","15,702",986,5.9
CN4825100000000,48,251,"Johnson County, TX",2000,"66,490","64,001","2,489",3.7
CN4825300000000,48,253,"Jones County, TX",2000,"7,688","7,297",391,5.1
CN4825500000000,48,255,"Karnes County, TX",2000,"5,382","5,098",284,5.3
CN4825700000000,48,257,"Kaufman County, TX",2000,"37,629","36,121","1,508",4
CN4825900000000,48,259,"Kendall County, TX",2000,"12,109","11,707",402,3.3
CN4826100000000,48,261,"Kenedy County, TX",2000,207,200,7,3.4
CN4826300000000,48,263,"Kent County, TX",2000,444,427,17,3.8
CN4826500000000,48,265,"Kerr County, TX",2000,"19,283","18,557",726,3.8
CN4826700000000,48,267,"Kimble County, TX",2000,"2,260","2,182",78,3.5
CN4826900000000,48,269,"King County, TX",2000,212,205,7,3.3
CN4827100000000,48,271,"Kinney County, TX",2000,"1,209","1,120",89,7.4
CN4827300000000,48,273,"Kleberg County, TX",2000,"13,897","13,204",693,5
CN4827500000000,48,275,"Knox County, TX",2000,"1,860","1,774",86,4.6
CN4827700000000,48,277,"Lamar County, TX",2000,"23,080","21,954","1,126",4.9
CN4827900000000,48,279,"Lamb County, TX",2000,"6,921","6,582",339,4.9
CN4828100000000,48,281,"Lampasas County, TX",2000,"8,643","8,315",328,3.8
CN4828300000000,48,283,"La Salle County, TX",2000,"2,203","2,049",154,7
CN4828500000000,48,285,"Lavaca County, TX",2000,"9,614","9,315",299,3.1
CN4828700000000,48,287,"Lee County, TX",2000,"8,233","7,945",288,3.5
CN4828900000000,48,289,"Leon County, TX",2000,"7,033","6,677",356,5.1
CN4829100000000,48,291,"Liberty County, TX",2000,"30,255","28,492","1,763",5.8
CN4829300000000,48,293,"Limestone County, TX",2000,"9,579","9,130",449,4.7
CN4829500000000,48,295,"Lipscomb County, TX",2000,"1,486","1,436",50,3.4
CN4829700000000,48,297,"Live Oak County, TX",2000,"4,853","4,636",217,4.5
CN4829900000000,48,299,"Llano County, TX",2000,"7,372","7,066",306,4.2
CN4830100000000,48,301,"Loving County, TX",2000,49,45,4,8.2
CN4830300000000,48,303,"Lubbock County, TX",2000,"128,169","123,663","4,506",3.5
CN4830500000000,48,305,"Lynn County, TX",2000,"2,994","2,873",121,4
CN4830700000000,48,307,"McCulloch County, TX",2000,"3,696","3,502",194,5.2
CN4830900000000,48,309,"McLennan County, TX",2000,"103,923","99,660","4,263",4.1
CN4831100000000,48,311,"McMullen County, TX",2000,400,384,16,4
CN4831300000000,48,313,"Madison County, TX",2000,"4,852","4,618",234,4.8
CN4831500000000,48,315,"Marion County, TX",2000,"4,654","4,360",294,6.3
CN4831700000000,48,317,"Martin County, TX",2000,"2,137","2,053",84,3.9
CN4831900000000,48,319,"Mason County, TX",2000,"2,023","1,964",59,2.9
CN4832100000000,48,321,"Matagorda County, TX",2000,"17,312","16,174","1,138",6.6
CN4832300000000,48,323,"Maverick County, TX",2000,"16,493","14,048","2,445",14.8
CN4832500000000,48,325,"Medina County, TX",2000,"17,979","17,274",705,3.9
CN4832700000000,48,327,"Menard County, TX",2000,"1,171","1,130",41,3.5
CN4832900000000,48,329,"Midland County, TX",2000,"58,272","55,862","2,410",4.1
CN4833100000000,48,331,"Milam County, TX",2000,"11,612","11,178",434,3.7
CN4833300000000,48,333,"Mills County, TX",2000,"2,464","2,377",87,3.5
CN4833500000000,48,335,"Mitchell County, TX",2000,"3,434","3,246",188,5.5
CN4833700000000,48,337,"Montague County, TX",2000,"9,245","8,810",435,4.7
CN4833900000000,48,339,"Montgomery County, TX",2000,"152,809","147,292","5,517",3.6
CN4834100000000,48,341,"Moore County, TX",2000,"9,704","9,389",315,3.2
CN4834300000000,48,343,"Morris County, TX",2000,"5,949","5,574",375,6.3
CN4834500000000,48,345,"Motley County, TX",2000,705,681,24,3.4
CN4834700000000,48,347,"Nacogdoches County, TX",2000,"29,104","27,849","1,255",4.3
CN4834900000000,48,349,"Navarro County, TX",2000,"21,126","20,083","1,043",4.9
CN4835100000000,48,351,"Newton County, TX",2000,"6,109","5,629",480,7.9
CN4835300000000,48,353,"Nolan County, TX",2000,"7,346","6,995",351,4.8
CN4835500000000,48,355,"Nueces County, TX",2000,"148,091","140,405","7,686",5.2
CN4835700000000,48,357,"Ochiltree County, TX",2000,"4,776","4,629",147,3.1
CN4835900000000,48,359,"Oldham County, TX",2000,"1,155","1,118",37,3.2
CN4836100000000,48,361,"Orange County, TX",2000,"40,681","37,896","2,785",6.8
CN4836300000000,48,363,"Palo Pinto County, TX",2000,"13,357","12,809",548,4.1
CN4836500000000,48,365,"Panola County, TX",2000,"10,407","9,827",580,5.6
CN4836700000000,48,367,"Parker County, TX",2000,"46,358","44,720","1,638",3.5
CN4836900000000,48,369,"Parmer County, TX",2000,"4,499","4,348",151,3.4
CN4837100000000,48,371,"Pecos County, TX",2000,"7,000","6,651",349,5
CN4837300000000,48,373,"Polk County, TX",2000,"15,901","14,977",924,5.8
CN4837500000000,48,375,"Potter County, TX",2000,"53,014","50,203","2,811",5.3
CN4837700000000,48,377,"Presidio County, TX",2000,"3,186","2,662",524,16.4
CN4837900000000,48,379,"Rains County, TX",2000,"4,365","4,196",169,3.9
CN4838100000000,48,381,"Randall County, TX",2000,"60,362","58,861","1,501",2.5
CN4838300000000,48,383,"Reagan County, TX",2000,"1,626","1,570",56,3.4
CN4838500000000,48,385,"Real County, TX",2000,"1,390","1,329",61,4.4
CN4838700000000,48,387,"Red River County, TX",2000,"6,790","6,462",328,4.8
CN4838900000000,48,389,"Reeves County, TX",2000,"5,044","4,605",439,8.7
CN4839100000000,48,391,"Refugio County, TX",2000,"3,695","3,539",156,4.2
CN4839300000000,48,393,"Roberts County, TX",2000,514,501,13,2.5
CN4839500000000,48,395,"Robertson County, TX",2000,"6,969","6,650",319,4.6
CN4839700000000,48,397,"Rockwall County, TX",2000,"24,320","23,596",724,3
CN4839900000000,48,399,"Runnels County, TX",2000,"5,289","5,041",248,4.7
CN4840100000000,48,401,"Rusk County, TX",2000,"21,093","20,060","1,033",4.9
CN4840300000000,48,403,"Sabine County, TX",2000,"3,772","3,457",315,8.4
CN4840500000000,48,405,"San Augustine County, TX",2000,"3,749","3,554",195,5.2
CN4840700000000,48,407,"San Jacinto County, TX",2000,"9,400","8,964",436,4.6
CN4840900000000,48,409,"San Patricio County, TX",2000,"27,483","25,882","1,601",5.8
CN4841100000000,48,411,"San Saba County, TX",2000,"2,808","2,691",117,4.2
CN4841300000000,48,413,"Schleicher County, TX",2000,"1,509","1,453",56,3.7
CN4841500000000,48,415,"Scurry County, TX",2000,"7,235","6,891",344,4.8
CN4841700000000,48,417,"Shackelford County, TX",2000,"1,646","1,590",56,3.4
CN4841900000000,48,419,"Shelby County, TX",2000,"11,365","10,778",587,5.2
CN4842100000000,48,421,"Sherman County, TX",2000,"1,629","1,585",44,2.7
CN4842300000000,48,423,"Smith County, TX",2000,"86,479","82,708","3,771",4.4
CN4842500000000,48,425,"Somervell County, TX",2000,"3,465","3,323",142,4.1
CN4842700000000,48,427,"Starr County, TX",2000,"17,725","14,791","2,934",16.6
CN4842900000000,48,429,"Stephens County, TX",2000,"4,377","4,191",186,4.2
CN4843100000000,48,431,"Sterling County, TX",2000,730,706,24,3.3
CN4843300000000,48,433,"Stonewall County, TX",2000,822,787,35,4.3
CN4843500000000,48,435,"Sutton County, TX",2000,"2,157","2,075",82,3.8
